Category,Requirement,Body,Reference
Security Requirements,Service Provider Obligations,"Service providers must implement and maintain reasonable security procedures and practices, assist businesses in meeting their CCPA obligations, and certify they understand restrictions on retention, use, and disclosure.",CCPA Section 1798.140(ag)
Security Requirements,Breach Notification,"In the event of unauthorized access to personal information, businesses must provide notice of the breach to affected consumers and implement security measures to prevent further breaches.",Cal. Civ. Code 1798.82
Verification and Response,Identity Verification,"Businesses must establish procedures to verify the identity of consumers making requests to know or delete personal information, using methods reasonably designed to ensure the requester is the consumer or authorized representative.",CCPA Section 1798.140(n)
Verification and Response,Response Timeframes,"Businesses must respond to verified consumer requests within 45 days of receipt. This period may be extended by an additional 45 days when reasonably necessary, with notice to the consumer.",CCPA Section 1798.130(a)(2)
Verification and Response,Free Exercise of Rights,"Businesses cannot discriminate against consumers for exercising their CCPA rights, including denying goods/services, charging different prices, or providing different quality of goods/services, unless the difference is reasonably related to value.",CCPA Section 1798.125(a)
Verification and Response,Authorized Agent,"Businesses must honor requests made through authorized agents if the consumer provides signed permission or power of attorney. Businesses may require verification from both the agent and the consumer.",CCPA Regulations Section 999.326
Third-Party Requirements,Service Provider Contracts,"Contracts with service providers must prohibit the service provider from retaining, using, or disclosing personal information for any purpose other than performing services specified in the contract.",CCPA Section 1798.140(ag)(2)
Third-Party Requirements,Third-Party Disclosure Requirements,"Businesses must disclose in their privacy policy the categories of personal information disclosed for business purposes and the categories of third parties to whom information is disclosed.",CCPA Section 1798.130(a)(5)(D)
Third-Party Requirements,Sale Definition and Tracking,"Selling includes disclosing personal information to third parties for monetary or other valuable consideration. Businesses must track and disclose all sales or sharing of personal information.",CCPA Section 1798.140(ad)
Special Categories,Children's Data - Under 13,"Businesses must not sell or share personal information of consumers under 13 years of age unless they obtain affirmative authorization (opt-in consent) from the child's parent or guardian.",CCPA Section 1798.120(c)
Special Categories,Children's Data - 13 to 16,"Businesses must not sell or share personal information of consumers between 13 and 16 years of age unless the consumer affirmatively authorizes (opts in to) the sale or sharing.",CCPA Section 1798.120(c)
Special Categories,Employee and B2B Data,"Personal information collected in the employment or B2B context has modified requirements under CCPA. Certain exemptions applied until January 1, 2023, when full CPRA requirements took effect.",CPRA Section 1798.145(h)
Transparency Requirements,Privacy Policy Accessibility,"Privacy policies must be accessible and easy to read. They should be made available on the business's website and mobile app if applicable, using a clear and conspicuous link.",CCPA Regulations Section 999.308
Transparency Requirements,Methods for Submitting Requests,"Businesses must provide two or more designated methods for submitting requests to know and delete, including at minimum a toll-free telephone number and a website address if the business operates a website.",CCPA Section 1798.130(a)(1)
Transparency Requirements,Do Not Sell Link Placement,"The 'Do Not Sell or Share My Personal Information' link must be clear and conspicuous on the homepage of the business's website. For mobile apps, the link must be accessible from the app settings menu or homepage.",CCPA Regulations Section 999.315(b)
Compliance and Records,Record Keeping Requirements,"Businesses must maintain records of consumer requests and how they responded for at least 24 months. This includes verification methods used and the consumer's requests.",CCPA Regulations Section 999.317
Compliance and Records,Annual Metrics Reporting,"Businesses must compile metrics regarding consumer requests and make them available in their privacy policy or on their website, including number of requests received, complied with, and denied.",CCPA Regulations Section 999.317(g)
Compliance and Records,Privacy Policy Updates,"Privacy policies must be updated at least once every 12 months and whenever there are material changes to the business's privacy practices that affect consumers.",CCPA Section 1798.130(a)(5)
Compliance and Records,Training Requirements,"Businesses should train employees who handle consumer inquiries about the business's privacy practices and how to direct consumers to exercise their rights under CCPA.",CCPA Regulations Section 999.317(e)
