Category,Requirement,Body,Reference
Protect - Data Security,Hardware Integrity,Hardware integrity is verified using trusted computing or other mechanisms,PR.DS-08
Protect - Platform Security,Configuration Management,Configuration management processes are established and implemented,PR.IP-01
Protect - Platform Security,System Development Lifecycle,A System Development Life Cycle to manage systems is implemented,PR.IP-02
Protect - Platform Security,Configuration Change Control,Configuration change control processes are in place and managed,PR.IP-03
Protect - Platform Security,Backups and Recovery,Backups of information are conducted maintained and tested,PR.IP-04
Protect - Platform Security,Physical Operating Environment,Physical operating environment requirements are met,PR.IP-05
Protect - Platform Security,Data Destruction,Data is destroyed according to organizational policy,PR.IP-06
Protect - Platform Security,Protection Processes,Protection processes are improved based on lessons learned,PR.IP-07
Protect - Platform Security,Secure Development,Effectiveness of protection technologies is shared,PR.IP-08
Protect - Platform Security,Response and Recovery Plans,Response and recovery plans are in place and managed,PR.IP-09
Protect - Platform Security,Testing Response Plans,Response and recovery plans are tested,PR.IP-10
Protect - Platform Security,Managing Vulnerabilities,Cybersecurity is included in human resources practices,PR.IP-11
Protect - Platform Security,Vulnerability Management Plan,A vulnerability management plan is developed and implemented,PR.IP-12
Protect - Technology,Audit Logs,Audit and log records are determined documented implemented and reviewed,PR.PT-01
Protect - Technology,Removable Media,Removable media is protected and its use is restricted,PR.PT-02
Protect - Technology,Least Functionality,The principle of least functionality is incorporated,PR.PT-03
Protect - Technology,Communications Networks,Communications and control networks are protected,PR.PT-04
Protect - Technology,Security Mechanisms,Mechanisms are implemented to achieve resilience in normal and adverse situations,PR.PT-05
Detect - Anomalies and Events,Baseline Network Operations,A baseline of network operations and expected data flows is established and managed,DE.AE-01
Detect - Anomalies and Events,Detected Events Analysis,Detected events are analyzed to understand attack targets and methods,DE.AE-02
Detect - Anomalies and Events,Event Data Aggregation,Event data are collected and correlated from multiple sources,DE.AE-03
Detect - Anomalies and Events,Event Impact Determination,Impact of events is determined and prioritized,DE.AE-04
Detect - Anomalies and Events,Incident Alert Thresholds,Incident alert thresholds are established and managed,DE.AE-05
Detect - Continuous Monitoring,Networks Monitored,Networks and network services are monitored to detect potential cybersecurity events,DE.CM-01
Detect - Continuous Monitoring,Physical Environment Monitored,The physical environment is monitored to detect potential cybersecurity events,DE.CM-02
Detect - Continuous Monitoring,Personnel Activity Monitored,Personnel activity and technology usage are monitored to detect potential cybersecurity events,DE.CM-03
Detect - Continuous Monitoring,Malicious Code Detection,Malicious code is detected and prevented from executing,DE.CM-04
Detect - Continuous Monitoring,Unauthorized Activity Detection,Unauthorized mobile code is detected and prevented from executing,DE.CM-05
Detect - Continuous Monitoring,External Service Monitoring,External service provider activities are monitored to detect potential cybersecurity events,DE.CM-06
Detect - Continuous Monitoring,Vulnerability Scanning,Monitoring for unauthorized personnel connections devices and software is performed,DE.CM-07
Detect - Continuous Monitoring,Vulnerability Scan Analysis,Vulnerability scans are performed and analyzed,DE.CM-08
Detect - Detection Processes,Roles and Responsibilities Defined,Roles and responsibilities for detection are well defined to ensure accountability,DE.DP-01
Detect - Detection Processes,Detection Activities Comply,Detection activities comply with all applicable requirements,DE.DP-02
Detect - Detection Processes,Detection Processes Tested,Detection processes are tested and improved,DE.DP-03
Detect - Detection Processes,Event Detection Information,Event detection information is communicated to appropriate parties,DE.DP-04
Detect - Detection Processes,Detection Processes Improved,Detection processes are continuously improved through lessons learned,DE.DP-05
Respond - Response Planning,Response Plan Executed,Response plan is executed during or after an incident,RS.RP-01
Respond - Communications,Personnel Notified,Personnel know their roles and order of operations when a response is needed,RS.CO-01
Respond - Communications,Incidents Reported,Incidents are reported consistent with established criteria,RS.CO-02
Respond - Communications,Information Shared,Information is shared consistent with response plans,RS.CO-03
Respond - Communications,Coordination with Stakeholders,Coordination with stakeholders occurs consistent with response plans,RS.CO-04
Respond - Communications,Voluntary Information Sharing,Voluntary information sharing occurs with external stakeholders,RS.CO-05
Respond - Analysis,Notifications Investigated,Notifications from detection systems are investigated,RS.AN-01
Respond - Analysis,Impact of Incident,Impact of the incident is understood,RS.AN-02
Respond - Analysis,Forensics Performed,Forensics are performed to understand the nature and scope of incidents,RS.AN-03
Respond - Analysis,Incidents Categorized,Incidents are categorized consistent with response plans,RS.AN-04
Respond - Analysis,Processes Established,Processes are established to receive analyze and respond to vulnerabilities,RS.AN-05
Respond - Mitigation,Incidents Contained,Incidents are contained to limit their impact,RS.MI-01
Respond - Mitigation,Incidents Mitigated,Incidents are mitigated to reduce their effects,RS.MI-02
Respond - Mitigation,Vulnerabilities Mitigated,Newly identified vulnerabilities are mitigated or documented as accepted risks,RS.MI-03
Respond - Improvements,Response Improved,Lessons learned are incorporated into response strategies,RS.IM-01
Respond - Improvements,Response Strategies Updated,Response strategies are updated based on lessons learned,RS.IM-02
Recover - Recovery Planning,Recovery Plan Executed,Recovery plan is executed during or after a cybersecurity incident,RC.RP-01
Recover - Improvements,Recovery Improved,Recovery planning and processes are improved by incorporating lessons learned,RC.IM-01
Recover - Improvements,Recovery Strategies Updated,Recovery strategies are updated based on lessons learned and testing,RC.IM-02
Recover - Communications,Public Relations Managed,Public relations are managed during and after recovery,RC.CO-01
Recover - Communications,Reputation Repaired,Reputation is repaired after an incident,RC.CO-02
Recover - Communications,Recovery Activities Communicated,Recovery activities are communicated to internal and external stakeholders,RC.CO-03
